subte,hospital,metrobus,universidad,escuela publica,escuela privada,centro de salud
562.865394297,1918.1579137,1076.40862681,301.457635782,98.6270899437,185.194004279,190.675877726
1384.73366119,1306.57230279,229.02458659,1212.6683831,111.571837732,263.019549263,1170.0763563
3170.16512607,613.831050946,1574.93842666,2279.33241046,82.8231780321,91.0957603809,1931.27464339
3170.16512607,613.831050946,1574.93842666,2279.33241046,82.8231780321,91.0957603809,1931.27464339
3431.40753521,717.631794409,1840.37930019,2006.94610938,228.621552288,186.168823927,1749.35097246
3431.40753521,717.631794409,1840.37930019,2006.94610938,228.621552288,186.168823927,1749.35097246
3717.49594461,913.159083863,2131.13894539,1710.42789174,67.9787789247,65.5506369675,1581.5533371
3735.11400873,609.907967649,2923.08556883,909.172611784,443.583938425,143.653105033,1365.25083066
3450.38313383,853.894650267,4371.91883913,549.88501178,291.565183637,116.969678115,2002.59317166
3450.38313383,853.894650267,4371.91883913,549.88501178,291.565183637,116.969678115,2002.59317166
2160.03697946,801.083534956,1951.84488921,192.741496014,190.978329751,125.28881043,1019.57882086
3952.06493628,712.033727065,2135.11445847,1815.0372313,240.235178246,605.593806122,2151.05622104
872.095531556,460.02478178,869.873780869,1126.9550773,269.072971344,225.626137872,1476.81803252
1072.3410934,634.516741985,1029.4733523,1041.47488939,408.533740922,118.32612966,1721.31841602
1166.38672456,738.103537059,1099.13004731,1048.77396229,452.779876203,248.689277432,1663.72690709
1400.87937255,1002.04361565,1239.40752788,1132.20041758,177.684428475,170.882176395,1510.76991568
2147.11017792,1932.59422236,1924.95760981,671.710615835,291.382244706,100.432427759,662.799551206
2168.87307428,2142.25762637,2149.03192632,426.580569594,326.043504428,170.903085045,417.286062853
835.049598195,613.93454434,1622.55408293,830.956465355,98.6188640416,555.861489005,933.325987186
277.836168283,1141.82808858,3105.98212896,838.088340658,160.301932633,302.802838901,844.677913765
810.657583352,1331.06275594,1275.57750924,865.247385167,365.565196577,309.529201333,1099.75059754
835.759557735,1403.46170584,1386.20777285,920.701758499,250.857926178,291.827732675,1122.1162352
835.759557735,1403.46170584,1386.20777285,920.701758499,250.857926178,291.827732675,1122.1162352
928.677566542,1564.82943036,1610.78758815,1061.93355164,39.5389003183,294.582525912,1199.96429178
929.517278601,1215.6029559,1223.71932147,1479.23682537,230.667641298,546.540354027,807.288638737
5082.84715482,1605.33088167,831.684753424,3527.88648167,243.465002681,272.771768679,4389.36817037
1004.03485231,801.281153645,2551.07213506,673.369662579,264.971320475,194.343013537,815.217793662
1004.03485231,801.281153645,2551.07213506,673.369662579,264.971320475,194.343013537,815.217793662
3450.47993599,1417.46699608,555.859885651,3421.6489886,290.598950067,197.272178054,3689.82319528
3450.47993599,1417.46699608,555.859885651,3421.6489886,290.598950067,197.272178054,3689.82319528
3018.89414907,1840.26772136,1763.04372404,2883.48874702,247.07142102,349.078838681,3303.53385392
437.704755103,749.470523987,5.6334232557,387.651121607,264.456877043,429.430004774,330.85725833
670.213667146,517.156572228,2570.95942838,900.712059165,506.877907731,137.131701815,458.25963027
251.827762936,1824.6738661,3164.82470375,237.372273966,309.33729352,120.01109772,1534.03120315
243.15030349,1871.07407555,3120.31793232,288.361503756,91.1885681555,15.6485077942,1879.12046799
188.105925829,122.109501318,1941.41349198,832.948371,315.727615045,191.58758598,810.864536814
188.105925829,122.109501318,1941.41349198,832.948371,315.727615045,191.58758598,810.864536814
1282.60473437,1535.79629745,797.421582623,1754.22740397,47.8227051812,635.088624123,584.202209749
1385.62445762,2590.3296085,3509.89154514,1235.20337292,348.68667164,482.696311107,1242.9032113
380.923749578,505.48490843,2706.55498887,762.01266744,243.758421889,184.979299911,263.771048527
380.923749578,505.48490843,2706.55498887,762.01266744,243.758421889,184.979299911,263.771048527
4138.27456562,603.025305118,3034.44192769,906.437707625,135.718803197,193.047217838,1816.21199394
4138.27456562,603.025305118,3034.44192769,906.437707625,135.718803197,193.047217838,1816.21199394
5140.62174548,1502.53433412,2499.52518579,1708.8540267,334.996442615,289.516580953,2861.7428235
832.294843045,1243.51716792,362.944860932,1312.37309292,329.083205225,452.03862478,832.769729643
1701.97916399,355.394294907,219.702750176,954.322359844,314.571212397,103.264654395,839.713682029
1815.17168975,256.025786106,180.435610419,920.000801673,233.478771067,108.989467445,773.769131495
2087.40129171,1327.93036547,97.3733795307,1942.93770306,130.889031159,492.972078363,1837.64342227
2467.33306035,1109.8519945,156.085943652,2359.8950613,270.174229624,75.1464781766,2376.26493513
185.655552648,706.964892919,1598.96667717,442.932674289,82.0458101386,291.291391543,110.427057405
83.6277257971,556.012418107,1618.25807663,549.857862885,103.106669822,199.949412882,192.159935948
557.562900147,717.32034753,1954.92845887,369.28437057,227.452868293,71.4460519342,230.985424736
444.899732041,451.772090475,2242.94705179,365.887734904,141.422727289,107.773819128,380.651468768
444.899732041,451.772090475,2242.94705179,365.887734904,141.422727289,107.773819128,380.651468768
444.899732041,451.772090475,2242.94705179,365.887734904,141.422727289,107.773819128,380.651468768
