1;Universidad de Buenos Aires;3177 TUCUMAN;UN;UBA;Tucumán 3177;1189;4508-3977;;www.uba.ar;;"Sede - ""Tucumán""(ex ""Uriburu"")";-58.410410053375045;-34.60044736840176
81;Instituto Universitario Aeronáutico;153 VIAMONTE;IN;IUA;Viamonte 153;1053;4514-4267;4514-4267;;;Instituto Nacional de Derecho Aeronáutico y Espacial;-58.370188608376118;-34.599295474656344
56;Universidad del Salvador;1856 VIAMONTE;UP;USAL;Viamonte 1856;1056;4813-9630/1408;4812-4625;www.salvador.edu.ar;;Rectorado;-58.393526784031899;-34.601001829970606
1;Universidad de Buenos Aires;430 VIAMONTE;UN;UBA;Viamonte 430/444 y Reconquista 694;1053;4511-8153 (C)4510-1100;4511-8123;www.uba.ar;;Rectorado;-58.373066416849035;-34.599861822611281
86;Instituto Tecnológico de Buenos Aires;399 MADERO EDUARDO;IP;ITBA;Av. Eduardo Madero 399;1106;6393-4800;6393-4800;www.itba.edu.ar;;Depart. de Ing. Electrónica y Electrotecnia/ Ing. Industrial/ Ing. Mecánica/ Ing. Química y de Petróleo/ Ing. En Informática/ Materias Físico-Matemáticas/ Desarrollos de Recursos/ Economía, Finanzas y Legales/ Relaciones Institucionales/ Desarrollo P;-58.367907851666466;-34.603341171137814
91;"Instituto Universitario ""Escuela Superior de Economía y Administración de Empresas";2472 URIARTE;IP;ESEADE;Uriarte 2472;1425;4773-3735/4773-5825/4772-7243;4773-3735;www.eseade.edu.ar;;Departamento de Economía y Ciencias Sociales / Administración y Formación Empresarial / Rectorado;-58.4231074572061;-34.580719887652513
81;Instituto Universitario Aeronáutico;1370 BELGRANO;IN;IUA;Av. Belgrano 1370 piso 12;C1093;4382-3834 // 4382-3670/4146/4017;4382-3834;;;Unidad de Educación a Distancia en el Exterior / Centro de Gestión en Buenos Aires;-58.385608174554775;-34.613573871507668
89;Instituto Universitario CEMIC;4102 GALVAN;IP;IUC;Av. Galván 4102;1431;4546-8290/91 (C)4546-8200 / 4546-8228;4546-8274;www.cemic.edu.ar;;Instituto de Investigaciones / Escuela de Medicina / Rectorado;-58.495298274271796;-34.557035540594484
87;Instituto Universitario de Ciencias de la Salud Fundación H.A. Barceló;2191 LAS HERAS;IP;BARCELO;Av. Las Heras 2191;1127;4805-2607/ 4804-4723/ 4576-2350/1 y 2;4805-2607;www.barcelo.edu.ar;;Facultad de Medicina / Rectorado;-58.395616122065832;-34.58854951809915
92;Instituto Universitario de la Fundación ISALUD;931 VENEZUELA;IP;ISALUD;Venezuela 931;1095;5239-4000;5239-4020;www.isalud.org;;Facultades de Salud / Administración y Economía / Ciencias Sociales / De Alimentos y Nutrición / Rectorado;-58.379451109435344;-34.613954538825958
